,Principal Component,Coefficient,1_largest_var,1_largest_val,2_largest_var,2_largest_val,3_largest_var,3_largest_val,4_largest_var,4_largest_val,5_largest_var,5_largest_val
48,PC-49,0.0155321745,AreaShape_NormalizedMoment_2_2,0.3760265349043669,AreaShape_Zernike_4_0,-0.2730365566547506,AreaShape_Zernike_9_9,0.2596438123897946,AreaShape_NormalizedMoment_2_3,0.25026393461142327,AreaShape_NormalizedMoment_2_1,-0.2439119366521776
70,PC-71,0.0137820748,AreaShape_MedianRadius,-0.45845703967748597,AreaShape_Zernike_8_4,-0.41252530208733074,AreaShape_Zernike_6_0,-0.32867283318815005,AreaShape_Solidity,0.2748773545634525,AreaShape_Zernike_6_4,0.2672044720044753
49,PC-50,0.0126669017,AreaShape_Zernike_9_9,-0.5612637222980269,AreaShape_NormalizedMoment_2_3,0.2949505361388072,AreaShape_NormalizedMoment_2_1,-0.27117594132023626,AreaShape_CentralMoment_2_3,0.22236167027567666,AreaShape_Zernike_9_1,0.2174357938281144
19,PC-20,0.0107660756,AreaShape_NormalizedMoment_3_0,-0.5140183861022929,AreaShape_CentralMoment_2_3,0.44964774743669855,AreaShape_NormalizedMoment_2_1,-0.33919063122563825,AreaShape_NormalizedMoment_2_3,-0.3146109874076079,AreaShape_NormalizedMoment_3_2,-0.28670341745229316
53,PC-54,0.0092232646,AreaShape_NormalizedMoment_1_3,0.41446864060932104,AreaShape_NormalizedMoment_3_3,-0.25603235235791055,AreaShape_Zernike_9_5,0.2310246971941514,AreaShape_Zernike_7_5,-0.22584838981838823,AreaShape_NormalizedMoment_3_1,-0.2241602627689996
21,PC-22,0.0035688454,AreaShape_CentralMoment_1_0,0.7083912508323904,AreaShape_CentralMoment_0_1,-0.6804841492607048,AreaShape_EulerNumber,-0.08499795915768989,Neighbors_AngleBetweenNeighbors_8,-0.06828791293653758,AreaShape_HuMoment_6,-0.06228665209462861
60,PC-61,-0.7324420468,AreaShape_Zernike_9_3,-0.43470075138380254,AreaShape_Zernike_7_5,-0.3606661011415754,AreaShape_Zernike_9_5,0.35377318030144234,AreaShape_Zernike_9_7,0.2887910087043564,AreaShape_Zernike_7_3,0.25954887145277694
11,PC-12,-0.5908489939,AreaShape_NormalizedMoment_2_0,0.45144917720278355,AreaShape_NormalizedMoment_0_2,-0.4343417930843032,AreaShape_CentralMoment_2_1,0.292858771236106,AreaShape_InertiaTensor_0_0,-0.2862816719893005,AreaShape_NormalizedMoment_2_1,0.2819028288886742
2,PC-3,-0.5441877695,AreaShape_HuMoment_0,0.2986490169754733,AreaShape_Zernike_0_0,-0.25373663309947403,AreaShape_HuMoment_1,0.2526438772924728,AreaShape_NormalizedMoment_2_2,0.24817453636753076,AreaShape_Solidity,-0.24145825249326153
44,PC-45,-0.4206023515,AreaShape_Zernike_5_3,-0.4324716347428202,AreaShape_Zernike_9_3,0.3329639682069909,AreaShape_Extent,-0.3152975046864343,AreaShape_Zernike_7_3,0.28958390532682826,AreaShape_HuMoment_2,-0.24874870032075547
